run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:36:05.160544,2,3,9,1,8,,674758922,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.204830,2,3,2,1,1,,115328755,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.214825,2,3,2,1,1,,115207112,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.254283,0,1,4,4,0,,263084974,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:05.262678,2,3,2,1,1,,114912944,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.287089,2,3,2,1,1,,114555536,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.293975,2,3,5,1,4,,319849113,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.316792,2,3,4,1,3,,257637548,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.657219,0,1,4,4,0,,263119087,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:06.041070,0,1,4,4,0,,263096353,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:06.429377,0,1,35,10,25,,7034049208,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:06.733005,0,1,4,4,0,,263110132,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:07.124897,0,1,4,4,0,,263105672,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:07.516328,0,1,4,4,0,,263088345,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:07.913369,0,1,4,4,0,,263126556,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:08.381456,0,1,4,4,0,,263113917,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:08.940430,0,1,4,4,0,,263099517,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:09.311784,0,1,7,7,0,,1643734731,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:11.691638,0,1,4,4,0,,263102580,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:12.079787,0,1,4,4,0,,263092446,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:12.464181,0,1,4,4,0,,263113890,LevelL0FilesNum
