run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.941863,1,2,5,,,6,318823,
vcomp_run1,vcomp,2026/04/14-17:10:24.942230,1,2,5,,,6,387554,
vcomp_run1,vcomp,2026/04/14-17:10:24.942304,1,2,5,,,5,301124,
vcomp_run1,vcomp,2026/04/14-17:10:24.942590,1,2,8,,,7,619006,
vcomp_run1,vcomp,2026/04/14-17:10:24.943130,2,3,3,,,2,123696,
vcomp_run1,vcomp,2026/04/14-17:10:24.943692,2,3,5,,,6,345573,
vcomp_run1,vcomp,2026/04/14-17:10:24.944077,2,3,3,,,2,126076,
vcomp_run1,vcomp,2026/04/14-17:10:24.944578,2,3,4,,,5,285322,
vcomp_run1,vcomp,2026/04/14-17:10:24.947113,0,1,8,,,8,474347,
vcomp_run1,vcomp,2026/04/14-17:10:24.947546,1,2,2,,,2,142578,
vcomp_run1,vcomp,2026/04/14-17:10:24.947867,1,2,3,,,2,183643,
vcomp_run1,vcomp,2026/04/14-17:10:24.947881,1,2,4,,,4,238482,
vcomp_run1,vcomp,2026/04/14-17:10:24.948208,1,2,6,,,6,383347,
vcomp_run1,vcomp,2026/04/14-17:10:24.948745,2,3,3,,,3,189912,
vcomp_run1,vcomp,2026/04/14-17:10:24.949197,2,3,4,,,4,223476,
vcomp_run1,vcomp,2026/04/14-17:10:24.949590,2,3,4,,,3,169778,
vcomp_run1,vcomp,2026/04/14-17:10:24.953080,0,1,8,,,8,500758,
vcomp_run1,vcomp,2026/04/14-17:10:24.953659,1,2,4,,,4,233398,
vcomp_run1,vcomp,2026/04/14-17:10:24.954092,1,2,5,,,6,334055,
vcomp_run1,vcomp,2026/04/14-17:10:24.954107,1,2,7,,,7,455618,
vcomp_run1,vcomp,2026/04/14-17:10:24.954148,1,2,8,,,8,506993,
vcomp_run1,vcomp,2026/04/14-17:10:24.954715,2,3,2,,,2,117219,
vcomp_run1,vcomp,2026/04/14-17:10:24.955189,2,3,3,,,4,197038,
vcomp_run1,vcomp,2026/04/14-17:10:24.955611,2,3,4,,,3,187450,
vcomp_run1,vcomp,2026/04/14-17:10:24.955999,2,3,3,,,3,137672,
vcomp_run1,vcomp,2026/04/14-17:10:24.959202,0,1,8,,,9,521976,
vcomp_run1,vcomp,2026/04/14-17:10:24.959760,1,2,5,,,5,255922,
vcomp_run1,vcomp,2026/04/14-17:10:24.960204,1,2,5,,,4,317560,
vcomp_run1,vcomp,2026/04/14-17:10:24.960217,1,2,6,,,5,305831,
vcomp_run1,vcomp,2026/04/14-17:10:24.960268,1,2,5,,,5,327422,
vcomp_run1,vcomp,2026/04/14-17:10:24.960660,1,2,8,,,7,484951,
vcomp_run1,vcomp,2026/04/14-17:10:24.961210,2,3,2,,,2,107193,
