Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme16n1      9804.40 177865.60    55.60   0.56    0.07    18.14   33.00  26652.00     0.00   0.00    0.33   807.64    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme17n1      9690.40 175580.80    56.40   0.58    0.07    18.12   34.60  26900.00     0.00   0.00    0.29   777.46    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.16
nvme18n1      9744.40 174060.00    13.20   0.14    0.07    17.86   34.80  26452.80     0.00   0.00    0.32   760.14    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.08
nvme19n1      9696.20 174601.60     7.60   0.08    0.07    18.01   33.60  26672.00     0.00   0.00    0.32   793.81    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.16
nvme1n1       9804.40 172670.40    10.20   0.10    0.07    17.61   34.00  27755.20     0.00   0.00    0.18   816.33    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
nvme20n1      9854.20 174796.00     8.40   0.09    0.07    17.74   34.80  27548.00     0.00   0.00    0.35   791.61    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.16
nvme21n1      9891.60 177441.60     7.40   0.07    0.07    17.94   33.40  26962.40     0.00   0.00    0.29   807.26    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
nvme22n1      9980.60 178604.80     8.80   0.09    0.07    17.90   32.20  26926.40     0.00   0.00    0.34   836.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
nvme23n1      9838.40 176056.00     8.40   0.09    0.07    17.89   33.00  27420.00     0.00   0.00    0.18   830.91    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.16
nvme24n1      9819.60 176731.20     9.00   0.09    0.07    18.00   33.80  27644.00     0.00   0.00    0.31   817.87    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.40
nvme25n1      9942.40 179294.40     9.20   0.09    0.07    18.03   35.20  28065.60     0.00   0.00    0.31   797.32    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme26n1      9800.80 170895.20     9.00   0.09    0.07    17.44   34.00  27456.00     0.00   0.00    0.31   807.53    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme27n1      9696.40 171152.80     8.20   0.08    0.07    17.65   33.80  25782.40     0.00   0.00    0.17   762.79    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
nvme28n1      9840.40 178480.00     8.40   0.09    0.07    18.14   33.80  26856.80     0.00   0.00    0.31   794.58    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.16
