campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_ycsb_af	E4-64m4_baseline__workloadb	workloadb		baseline	E4-64m4	1034847	46.382	4.146	1222758046	83.51	294956108	246313036	1061618888	161139158	150804612	12308	1222747008	51.99	119.65	491.05	78594430	72.76				304.6				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T23:02:52.300465+00:00
eval_20260912_ycsb_af	E4-64m4_baseline__workloadc	workloadc		baseline	E4-64m4	1388852	34.560	4.031	1679688013	60.29	416689235	251227556	1417195564	262492449	251227556	11044	1679676969	72.61	165.31	207.78	93120879	0.00				304.6				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T23:07:57.406853+00:00
eval_20260912_ycsb_af	E4-64m4_baseline__workloadd	workloadd		baseline	E4-64m4	2548029	18.837	1.136	824822691	91.99	726249911	668080584	510317943	314504748	309534627	11717	824811649	33.92	108.78	169.17	105766581	0.12				304.5				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T23:13:02.380907+00:00
eval_20260912_ycsb_af	E4-64m4_baseline__workloade	workloade		baseline	E4-64m4	123855	387.537						0	0	0	31	0	64.71	368.95	778.07	106652221	0.00				304.5				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T23:18:07.369090+00:00
eval_20260912_ycsb_af	E4-64m4_baseline__workloadf	workloadf		baseline	E4-64m4	598641	80.179	8.724	1566954481	86.50	179606236	155363878	1459903863	107050618	92835211	17032	1566943434	69.88	318.20	633.18	76473898	363.41				304.7				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T23:23:12.540892+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloada	workloada		baseline	E5-256	694246	69.133	9.059	943503974	86.77	104151219	90370430	881700844	61803130	53214168	14749	943500712	74.00	455.42	800.62	47523876	732.76				307.1				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:25:49.798672+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloadb	workloadb		baseline	E5-256	998977	48.046	4.271	1216104856	83.45	284742479	237621923	1060179610	155925246	145604202	5688	1216101591	63.35	158.30	599.84	76244068	141.87				304.3				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:30:54.333015+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloadc	workloadc		baseline	E5-256	949432	50.554	4.200	1196538390	60.29	284862191	171751428	1016284298	180254092	171751428	3261	1196535129	72.78	165.45	192.91	65023773	0.00				304.3				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:35:58.804362+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloadd	workloadd		baseline	E5-256	2504426	19.164	1.149	820566293	91.96	713863931	656473945	513017767	307548526	302556479	3896	820563019	33.98	109.12	171.72	106306824	0.00				304.3				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:41:03.206519+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloade	workloade		baseline	E5-256	91358	525.381						0	0	0	22	0	68.50	496.00	813.00	118036779	0.00				304.3				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:46:07.613866+00:00
eval_20260912_ycsb_af	E5-256_baseline__workloadf	workloadf		baseline	E5-256	574240	83.584	7.565	1303402677	86.43	172290758	148908163	1202611385	100791292	89071495	14010	1303399419	72.50	451.77	816.66	74136862	671.63				304.6				50	1048576000	3237	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline	2026-09-11T21:51:12.313696+00:00
