job	plr_error	output_level	plr_segments	actual_output_files	predicted_output_files	output_file_delta	actual_entries	predicted_entries	entry_error_pct	rank_ks	rank_count_sup	boundary_mass_error
1563	8	3	1561	3	3	0	149721	149848	0.08482444012529973	0.0016086531647706225	0.0022441741639449377	0.0008259807686741785
1564	8	3	1647	3	3	0	156842	155964	-0.5597990334221701	0.002082663435240003	0.0057637622575585626	0.0018702473402107426
1566	8	3	1529	3	3	0	149842	150104	0.17485084288784186	0.0009845528469436722	0.0025026361100359044	0.0005783870120971868
1567	8	3	1689	3	3	0	157107	157429	0.20495585810944134	0.0012916692425011887	0.00231689230906325	0.0006810644974444168
1570	8	3	1605	3	3	0	156618	157131	0.3275485576370532	0.0019257958622345577	0.0037543577366586215	0.0012450676167490326
1571	8	3	1095	2	2	0	105340	105321	-0.018036833111828365	0.0018961328756303699	0.001908107081830264	9.493070058857034e-05
1573	8	3	2081	4	4	0	200647	200340	-0.15300502873205182	0.0012049954953576832	0.0024022287898647875	0.0005332748558413532
1574	8	3	1189	2	2	0	115979	116217	0.20520956380034316	0.0020449885151703146	0.0021210736426422023	0.0010260478190017158
1575	8	3	1999	3	3	0	189075	189548	0.25016527832870555	0.0012803999083886434	0.0027132090440301466	0.0008321212922561594
1577	8	3	1659	3	3	0	157773	158012	0.15148346041464636	0.002002643697388308	0.003074036749000146	0.0011028502975794338
1578	8	3	2013	3	3	0	194059	193665	-0.20303103695267935	0.010274946748672372	0.009971194327498338	0.0006802055045115144
1580	8	3	2103	4	4	0	201264	201990	0.360720248032435	0.0011833679879239252	0.0037612290325145085	0.0008918634231655934
1583	8	0	3371	1	1	0	322849	322893	0.01362866231581947	0.0006263164444707486	0.0006845305390445688	0.0001362866231581947
1584	8	3	1111	2	2	0	105723	106082	0.3395666032935123	0.0017526621873782515	0.004909054794131835	0.0016931036765888217
1585	8	3	2053	4	4	0	198696	198473	-0.11223175101662841	0.0009873367011868474	0.0013940894633007208	0.0003850102669404517
